"depth","yearDay","salinity","temperature","sigmaTheta"
"50","4",31.2783707760978,4.06276420162069,24.7826809444597
"55","4",31.4006504361706,3.95289170105089,24.890864393179
"60","4",31.5486090266884,3.92461267585231,25.0170055073351
"65","4",31.70203658539,3.89100956431799,25.1437378082245
"70","4",31.8635126331482,3.96018984786768,25.2648917581297
"75","4",31.9894710834341,3.93444828261288,25.3752320133699
"80","4",32.1040476320043,3.91038907032121,25.474699411649
"85","4",32.2130021413548,3.97636631743077,25.5582109307007
"90","4",32.313006844052,4.09871780299465,25.6327227512702
"95","4",32.4267252190308,4.19327058110712,25.7162561750785
"100","4",32.5314015130484,4.33377583928007,25.7872229282704
"105","4",32.6343745936208,4.48018913972486,25.851956176714
"110","4",32.7300895574376,4.63074865649543,25.9107936717231
"115","4",32.8392408226098,4.82495034771974,25.972448394912
"120","4",32.9387064273943,5.08029668215598,26.025403217628
"125","4",33.0390866365398,5.31266150295744,26.0785870768391
"130","4",33.1455211283171,5.5251437517144,26.1342653073175
"135","4",33.2524962579907,5.81609785236661,26.1885795403906
"140","4",33.3645109462113,6.18046715994455,26.2455147399864
"145","4",33.4783204734381,6.39708704376555,26.3067070607037
"150","4",33.5508113315384,6.69643772355775,26.3394022368518
"0","5",30.7372226226205,3.19467727852446,24.4262050707352
"5","5",30.7849958072636,3.1616246148199,24.4662092581092
"10","5",30.7931719631431,3.22129123283605,24.467822971701
"15","5",30.7995505862003,3.31355593663592,24.466904957192
"20","5",30.8343030462515,3.43607537323098,24.4837872891361
"25","5",30.8593685688939,3.51940959815743,24.4949447244634
"30","5",30.8911667797229,3.62302413993659,24.5127583039317
"35","5",30.9370872669965,3.716443583394,24.5426680391545
"40","5",31.0231501142916,3.82687706551709,24.601309398063
"45","5",31.1559830321678,3.97623226036355,24.6973448055769
"50","5",31.279873368824,3.99119306838358,24.7905028335154
"55","5",31.4012878209774,3.89380683991602,24.8971010572163
"60","5",31.5484109049846,3.87354645597206,25.0217878484185
"65","5",31.700418542987,3.84895919309798,25.1466033255187
"70","5",31.8598822511304,3.92339156368571,25.2659064221648
"75","5",31.9851432926459,3.90377122333525,25.3749129783737
"80","5",32.0994043540595,3.88723787583253,25.4735667082143
"85","5",32.2078462555816,3.95646510395553,25.5564840438285
"90","5",32.3077273135001,4.07950983475213,25.6306452505789
"95","5",32.4211032593349,4.1782086967527,25.7135225348046
"100","5",32.5257614330447,4.32119146743582,25.784235803879
"105","5",32.6288977402511,4.47018860304847,25.8489612394933
"110","5",32.7250384221416,4.62472123595925,25.9079012273949
"115","5",32.8337324492279,4.81984688962484,25.9693476642043
"120","5",32.9328818201949,5.07543414194796,26.0221770402166
"125","5",33.0330125478887,5.30986395823401,26.075252330259
"130","5",33.1400506469495,5.52560679907276,26.1311859245045
"135","5",33.2477403337337,5.81743822210505,26.1858729810021
"140","5",33.3610250950851,6.18229013950966,26.2433668121385
"145","5",33.4766873113463,6.4053080087574,26.3052984320169
"150","5",33.5510001546611,6.70791864147495,26.3388715538459
"0","6",30.742698886003,3.09763962778255,24.4389567544802
"5","6",30.7914451718844,3.06860536347339,24.4794578688208
"10","6",30.7993787711803,3.12810962942902,24.4807751802934
"15","6",30.8054019252788,3.22096112511069,24.4794115227721
"20","6",30.8398343104225,3.34394314230956,24.4960206256348
"25","6",30.864601205296,3.42879095529027,24.5069867074248
"30","6",30.8965317023261,3.53498403937506,24.52472910759
"35","6",30.9424934308536,3.63009951048049,24.5545269422513
"40","6",31.027486972338,3.74359211920656,24.6122446415916
"45","6",31.1587296800036,3.89711035495729,24.7066315316588
"50","6",31.2814590036386,3.92048672442191,24.7983009452886
"55","6",31.4020186635735,3.8353706065252,24.9033378569721
"60","6",31.5483060768935,3.8229945286218,25.0265836366427
"65","6",31.6989065380275,3.80726596647831,25.1495082733591
"70","6",31.8563833433547,3.88685795086747,25.2669857555999
"75","6",31.980950986423,3.87328625700633,25.374673023515
"80","6",32.0948925776362,3.86417647746192,25.4725164548149
"85","6",32.2028257490374,3.93664155256167,25.5548422220139
"90","6",32.30258232816,4.06041596671947,25.6286530955131
"95","6",32.4156191761403,4.16322758792204,25.710881104891
"100","6",32.5202553614522,4.30868641397595,25.7813398712803
"105","6",32.6235517830007,4.46027059898585,25.8460543656944
"110","6",32.7201181190674,4.61875813085206,25.9050955127353
"115","6",32.8283736825594,4.81485158921183,25.9663387931701
"120","6",32.9272195509112,5.07070582222615,26.0190458043884
"125","6",33.0271166813404,5.30719645466072,26.0720174256448
"130","6",33.134755741217,5.52617274721819,26.1282037498454
"135","6",33.2431542636927,5.81888036124427,26.1832589538936
"140","6",33.3576839629647,6.18419827589044,26.2412981671378
"145","6",33.4751577980125,6.41350797337042,26.30394996071
"150","6",33.5512558758414,6.71929583711742,26.3383835543303
"0","7",30.7480966893099,3.00238273193859,24.4515013774801
"5","7",30.7978433710575,2.97712752761772,24.4925325624566
"10","7",30.8055427226519,3.03643358823948,24.4935648222317
"15","7",30.8112198669915,3.12983081336915,24.4917643476041
"20","7",30.845345971056,3.25323185657819,24.5081136690665
"25","7",30.8698260623048,3.3395314723806,24.5188986081407
"30","7",30.9018930733081,3.44822030782545,24.5365784676811
"35","7",30.9479075054716,3.54497681353717,24.5662779242554
"40","7",31.0318594356718,3.66144898163944,24.6230960195492
"45","7",31.1615378322185,3.81902532993562,24.7158648305364
"50","7",31.2831282092766,3.8506452365811,24.8060755420191
